"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"1",1,NA,1,7796,14,14,1,0.002,"KEGG:00000","keg",1,"KEGG pathways",1,"MM.330223,MM.181430,MM.4915,MM.142872,MM.29405,MM.157091,MM.480594,MM.4113,MM.268903,MM.5083,MM.192111,MM.25059,MM.328831,MM.412584"
"2",1,NA,1,78,14,1,0.071,0.013,"KEGG:05132","keg",1,"Salmonella infection",2,"MM.181430"
"3",1,NA,1,167,14,1,0.071,0.006,"KEGG:04145","keg",1,"Phagosome",2,"MM.181430"
"4",1,NA,0.877,117,14,2,0.143,0.017,"KEGG:04114","keg",1,"Oocyte meiosis",2,"MM.29405,MM.157091"
"5",1,NA,1,58,14,1,0.071,0.017,"KEGG:04913","keg",1,"Ovarian steroidogenesis",2,"MM.157091"
"6",1,NA,1,134,14,1,0.071,0.007,"KEGG:03040","keg",1,"Spliceosome",2,"MM.142872"
"7",1,NA,1,55,14,1,0.071,0.018,"KEGG:04961","keg",1,"Endocrine and other factor-regulated calcium reabsorption",2,"MM.157091"
"8",1,NA,1,103,14,1,0.071,0.01,"KEGG:04916","keg",1,"Melanogenesis",2,"MM.157091"
"9",1,NA,1,105,14,1,0.071,0.01,"KEGG:04066","keg",1,"HIF-1 signaling pathway",2,"MM.29405"
"10",1,NA,1,139,14,1,0.071,0.007,"KEGG:04550","keg",1,"Signaling pathways regulating pluripotency of stem cells",2,"MM.25059"
"11",1,NA,1,89,14,1,0.071,0.011,"KEGG:04914","keg",1,"Progesterone-mediated oocyte maturation",2,"MM.157091"
"12",1,NA,1,30,14,1,0.071,0.033,"KEGG:04710","keg",1,"Circadian rhythm",2,"MM.29405"
"13",1,NA,1,143,14,1,0.071,0.007,"KEGG:05206","keg",1,"MicroRNAs in cancer",2,"MM.142872"
"14",1,NA,0.126,43,14,2,0.143,0.047,"KEGG:04962","keg",1,"Vasopressin-regulated water reabsorption",2,"MM.181430,MM.157091"
"15",1,NA,1,82,14,1,0.071,0.012,"KEGG:04260","keg",1,"Cardiac muscle contraction",2,"MM.330223"
"16",1,NA,1,75,14,1,0.071,0.013,"KEGG:04971","keg",1,"Gastric acid secretion",2,"MM.157091"
"17",1,NA,1,285,14,1,0.071,0.004,"KEGG:04080","keg",1,"Neuroactive ligand-receptor interaction",2,"MM.4915"
"18",1,NA,1,40,14,1,0.071,0.025,"KEGG:05033","keg",1,"Nicotine addiction",2,"MM.4915"
"19",1,NA,1,97,14,1,0.071,0.01,"KEGG:04915","keg",1,"Estrogen signaling pathway",2,"MM.157091"
"20",1,NA,1,394,14,2,0.143,0.005,"KEGG:05200","keg",1,"Pathways in cancer",2,"MM.29405,MM.157091"
"21",1,NA,1,126,14,1,0.071,0.008,"KEGG:04152","keg",1,"AMPK signaling pathway",2,"MM.480594"
"22",1,NA,0.498,87,14,2,0.143,0.023,"KEGG:04742","keg",1,"Taste transduction",2,"MM.4915,MM.157091"
"23",1,NA,1,221,14,1,0.071,0.005,"KEGG:05203","keg",1,"Viral carcinogenesis",2,"MM.142872"
"24",1,NA,1,127,14,1,0.071,0.008,"KEGG:04750","keg",1,"Inflammatory mediator regulation of TRP channels",2,"MM.157091"
"25",1,NA,1,58,14,1,0.071,0.017,"KEGG:00310","keg",1,"Lysine degradation",2,"MM.192111"
"26",1,NA,1,65,14,1,0.071,0.015,"KEGG:05211","keg",1,"Renal cell carcinoma",2,"MM.29405"
