"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"1",1,NA,1,7796,5,5,1,0.001,"KEGG:00000","keg",1,"KEGG pathways",1,"MM.214717,MM.249555,MM.133037,MM.20355,MM.457983"
"2",1,NA,1,139,5,1,0.2,0.007,"KEGG:04550","keg",1,"Signaling pathways regulating pluripotency of stem cells",2,"MM.20355"
"3",1,NA,1,82,5,1,0.2,0.012,"KEGG:04260","keg",1,"Cardiac muscle contraction",2,"MM.457983"
"4",1,NA,1,103,5,1,0.2,0.01,"KEGG:04916","keg",1,"Melanogenesis",2,"MM.20355"
"5",1,NA,1,65,5,1,0.2,0.015,"KEGG:05211","keg",1,"Renal cell carcinoma",2,"MM.133037"
"6",1,NA,1,147,5,1,0.2,0.007,"KEGG:05224","keg",1,"Breast cancer",2,"MM.20355"
"7",1,NA,1,277,5,1,0.2,0.004,"KEGG:05166","keg",1,"HTLV-I infection",2,"MM.20355"
"8",1,NA,1,176,5,1,0.2,0.006,"KEGG:04360","keg",1,"Axon guidance",2,"MM.20355"
"9",1,NA,1,105,5,1,0.2,0.01,"KEGG:04066","keg",1,"HIF-1 signaling pathway",2,"MM.133037"
"10",1,NA,1,126,5,1,0.2,0.008,"KEGG:04611","keg",1,"Platelet activation",2,"MM.249555"
"11",1,NA,1,78,5,1,0.2,0.013,"KEGG:05416","keg",1,"Viral myocarditis",2,"MM.457983"
"12",1,NA,1,206,5,1,0.2,0.005,"KEGG:05205","keg",1,"Proteoglycans in cancer",2,"MM.20355"
"13",1,NA,1,106,5,1,0.2,0.009,"KEGG:05146","keg",1,"Amoebiasis",2,"MM.249555"
"14",1,NA,1,90,5,1,0.2,0.011,"KEGG:04974","keg",1,"Protein digestion and absorption",2,"MM.249555"
"15",1,NA,0.975,394,5,2,0.4,0.005,"KEGG:05200","keg",1,"Pathways in cancer",2,"MM.133037,MM.20355"
"16",1,NA,1,169,5,1,0.2,0.006,"KEGG:04022","keg",1,"cGMP-PKG signaling pathway",2,"MM.457983"
"17",1,NA,1,117,5,1,0.2,0.009,"KEGG:04919","keg",1,"Thyroid hormone signaling pathway",2,"MM.20355"
"18",1,NA,1,156,5,1,0.2,0.006,"KEGG:04150","keg",1,"mTOR signaling pathway",2,"MM.20355"
"19",1,NA,1,91,5,1,0.2,0.011,"KEGG:05414","keg",1,"Dilated cardiomyopathy",2,"MM.457983"
"20",1,NA,1,56,5,1,0.2,0.018,"KEGG:05217","keg",1,"Basal cell carcinoma",2,"MM.20355"
"21",1,NA,1,155,5,1,0.2,0.006,"KEGG:04390","keg",1,"Hippo signaling pathway",2,"MM.20355"
"22",1,NA,1,87,5,1,0.2,0.011,"KEGG:05410","keg",1,"Hypertrophic cardiomyopathy (HCM)",2,"MM.457983"
"23",1,NA,1,101,5,1,0.2,0.01,"KEGG:04933","keg",1,"AGE-RAGE signaling pathway in diabetic complications",2,"MM.249555"
"24",1,NA,0.142,146,5,2,0.4,0.014,"KEGG:04310","keg",1,"Wnt signaling pathway",2,"MM.214717,MM.20355"
"25",1,NA,1,148,5,1,0.2,0.007,"KEGG:04261","keg",1,"Adrenergic signaling in cardiomyocytes",2,"MM.457983"
