"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"1",1,NA,1,7796,6,6,1,0.001,"KEGG:00000","keg",1,"KEGG pathways",1,"MM.23963,MM.754,MM.255971,MM.29629,MM.254493,MM.247564"
"2",1,NA,1,117,6,1,0.167,0.009,"KEGG:04919","keg",1,"Thyroid hormone signaling pathway",2,"MM.23963"
"3",1,NA,1,44,6,1,0.167,0.023,"KEGG:04340","keg",1,"Hedgehog signaling pathway",2,"MM.254493"
"4",1,NA,0.32,180,6,2,0.333,0.011,"KEGG:00230","keg",1,"Purine metabolism",2,"MM.255971,MM.247564"
"5",1,NA,1,71,6,1,0.167,0.014,"KEGG:04924","keg",1,"Renin secretion",2,"MM.754"
"6",1,NA,1,102,6,1,0.167,0.01,"KEGG:05142","keg",1,"Chagas disease (American trypanosomiasis)",2,"MM.754"
"7",1,NA,1,108,6,1,0.167,0.009,"KEGG:04668","keg",1,"TNF signaling pathway",2,"MM.29629"
"8",1,NA,1,87,6,1,0.167,0.011,"KEGG:05410","keg",1,"Hypertrophic cardiomyopathy (HCM)",2,"MM.754"
"9",1,NA,1,169,6,1,0.167,0.006,"KEGG:04022","keg",1,"cGMP-PKG signaling pathway",2,"MM.247564"
"10",1,NA,1,56,6,1,0.167,0.018,"KEGG:05217","keg",1,"Basal cell carcinoma",2,"MM.254493"
"11",1,NA,1,183,6,1,0.167,0.005,"KEGG:04020","keg",1,"Calcium signaling pathway",2,"MM.23963"
"12",1,NA,1,94,6,1,0.167,0.011,"KEGG:05032","keg",1,"Morphine addiction",2,"MM.247564"
"13",1,NA,1,137,6,1,0.167,0.007,"KEGG:04210","keg",1,"Apoptosis",2,"MM.29629"
"14",1,NA,1,70,6,1,0.167,0.014,"KEGG:00562","keg",1,"Inositol phosphate metabolism",2,"MM.23963"
"15",1,NA,1,1314,6,1,0.167,0.001,"KEGG:01100","keg",1,"Metabolic pathways",2,"MM.23963"
"16",1,NA,1,99,6,1,0.167,0.01,"KEGG:04070","keg",1,"Phosphatidylinositol signaling system",2,"MM.23963"
"17",1,NA,1,199,6,1,0.167,0.005,"KEGG:04024","keg",1,"cAMP signaling pathway",2,"MM.254493"
"18",1,NA,1,101,6,1,0.167,0.01,"KEGG:04933","keg",1,"AGE-RAGE signaling pathway in diabetic complications",2,"MM.23963"
"19",1,NA,1,394,6,1,0.167,0.003,"KEGG:05200","keg",1,"Pathways in cancer",2,"MM.254493"
"20",1,NA,1,1097,6,1,0.167,0.001,"KEGG:04740","keg",1,"Olfactory transduction",2,"MM.247564"
"21",1,NA,1,34,6,1,0.167,0.029,"KEGG:04614","keg",1,"Renin-angiotensin system",2,"MM.754"
"22",1,NA,1,88,6,1,0.167,0.011,"KEGG:04925","keg",1,"Aldosterone synthesis and secretion",2,"MM.247564"
