"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"1",1,FALSE,1,7796,19,19,1,0.002,"KEGG:00000","keg",1,"KEGG pathways",1,"MM.271703,MM.27832,MM.3238,MM.488962,MM.6105,MM.41353,MM.166944,MM.209294,MM.22574,MM.327442,MM.270307,MM.256765,MM.488483,MM.42249,MM.220242,MM.234342,MM.247623,MM.222178,MM.261270"
"2",1,FALSE,1,40,19,1,0.053,0.025,"KEGG:04960","keg",1,"Aldosterone-regulated sodium reabsorption",2,"MM.222178"
"3",1,FALSE,1,57,19,1,0.053,0.018,"KEGG:05221","keg",1,"Acute myeloid leukemia",2,"MM.256765"
"4",1,FALSE,1,137,19,1,0.053,0.007,"KEGG:04210","keg",1,"Apoptosis",2,"MM.256765"
"5",1,FALSE,1,112,19,1,0.053,0.009,"KEGG:04931","keg",1,"Insulin resistance",2,"MM.256765"
"6",1,FALSE,0.625,199,19,3,0.158,0.015,"KEGG:04024","keg",1,"cAMP signaling pathway",2,"MM.271703,MM.166944,MM.256765"
"7",1,FALSE,1,102,19,2,0.105,0.02,"KEGG:05231","keg",1,"Choline metabolism in cancer",2,"MM.41353,MM.222178"
"8",1,FALSE,1,143,19,2,0.105,0.014,"KEGG:05206","keg",1,"MicroRNAs in cancer",2,"MM.256765,MM.222178"
"9",1,FALSE,1,86,19,1,0.053,0.012,"KEGG:04610","keg",1,"Complement and coagulation cascades",2,"MM.247623"
"10",1,FALSE,1,71,19,1,0.053,0.014,"KEGG:04924","keg",1,"Renin secretion",2,""
"11",1,FALSE,0.729,74,19,2,0.105,0.027,"KEGG:05133","keg",1,"Pertussis",2,"MM.271703,MM.256765"
"12",1,FALSE,1,88,19,1,0.053,0.011,"KEGG:04925","keg",1,"Aldosterone synthesis and secretion",2,"MM.222178"
"13",1,FALSE,0.748,75,19,2,0.105,0.027,"KEGG:04971","keg",1,"Gastric acid secretion",2,"MM.271703,MM.222178"
"14",1,FALSE,0.272,147,19,3,0.158,0.02,"KEGG:04723","keg",1,"Retrograde endocannabinoid signaling",2,"MM.271703,MM.234342,MM.222178"
"15",1,FALSE,1,103,19,2,0.105,0.019,"KEGG:04916","keg",1,"Melanogenesis",2,"MM.271703,MM.222178"
"16",1,FALSE,1,87,19,1,0.053,0.011,"KEGG:04911","keg",1,"Insulin secretion",2,"MM.222178"
"17",1,FALSE,0.991,87,19,2,0.105,0.023,"KEGG:04540","keg",1,"Gap junction",2,"MM.271703,MM.222178"
"18",1,FALSE,1,68,19,1,0.053,0.015,"KEGG:04622","keg",1,"RIG-I-like receptor signaling pathway",2,"MM.256765"
"19",1,FALSE,1,258,19,3,0.158,0.012,"KEGG:04010","keg",1,"MAPK signaling pathway",2,"MM.256765,MM.234342,MM.222178"
"20",1,FALSE,0.316,48,19,2,0.105,0.042,"KEGG:05030","keg",1,"Cocaine addiction",2,"MM.271703,MM.256765"
"21",1,FALSE,1,99,19,1,0.053,0.01,"KEGG:04064","keg",1,"NF-kappa B signaling pathway",2,"MM.256765"
"22",1,FALSE,1,129,19,1,0.053,0.008,"KEGG:04270","keg",1,"Vascular smooth muscle contraction",2,"MM.222178"
"23",1,FALSE,1,207,19,1,0.053,0.005,"KEGG:05169","keg",1,"Epstein-Barr virus infection",2,"MM.256765"
"24",1,FALSE,1,66,19,1,0.053,0.015,"KEGG:05214","keg",1,"Glioma",2,"MM.222178"
"25",1,FALSE,0.503,61,19,2,0.105,0.033,"KEGG:04730","keg",1,"Long-term depression",2,"MM.271703,MM.222178"
"26",1,FALSE,1,221,19,1,0.053,0.005,"KEGG:05203","keg",1,"Viral carcinogenesis",2,"MM.256765"
"27",1,FALSE,1,83,19,1,0.053,0.012,"KEGG:05222","keg",1,"Small cell lung cancer",2,"MM.256765"
"28",1,FALSE,1,68,19,1,0.053,0.015,"KEGG:04720","keg",1,"Long-term potentiation",2,"MM.222178"
"29",1,FALSE,1,156,19,1,0.053,0.006,"KEGG:04150","keg",1,"mTOR signaling pathway",2,"MM.222178"
"30",1,FALSE,1,167,19,1,0.053,0.006,"KEGG:04145","keg",1,"Phagosome",2,"MM.270307"
"31",1,FALSE,1,71,19,1,0.053,0.014,"KEGG:04920","keg",1,"Adipocytokine signaling pathway",2,"MM.256765"
"32",1,FALSE,0.0762,94,19,3,0.158,0.032,"KEGG:05032","keg",1,"Morphine addiction",2,"MM.271703,MM.234342,MM.222178"
"33",1,FALSE,0.139,116,19,3,0.158,0.026,"KEGG:04670","keg",1,"Leukocyte transendothelial migration",2,"MM.271703,MM.270307,MM.222178"
"34",1,FALSE,1,56,19,1,0.053,0.018,"KEGG:04923","keg",1,"Regulation of lipolysis in adipocytes",2,""
