"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"1",1,FALSE,1,7796,4,4,1,0.001,"KEGG:00000","keg",1,"KEGG pathways",1,"MM.296470,MM.328206,MM.9648,MM.3160"
"2",1,FALSE,1,1314,4,1,0.25,0.001,"KEGG:01100","keg",1,"Metabolic pathways",2,"MM.3160"
"3",1,FALSE,1,394,4,1,0.25,0.003,"KEGG:05200","keg",1,"Pathways in cancer",2,"MM.328206"
"4",1,FALSE,1,117,4,1,0.25,0.009,"KEGG:04114","keg",1,"Oocyte meiosis",2,"MM.9648"
"5",1,FALSE,1,276,4,1,0.25,0.004,"KEGG:04144","keg",1,"Endocytosis",2,"MM.328206"
"6",1,FALSE,1,136,4,1,0.25,0.007,"KEGG:05162","keg",1,"Measles",2,"MM.328206"
"7",1,FALSE,1,167,4,1,0.25,0.006,"KEGG:04621","keg",1,"NOD-like receptor signaling pathway",2,"MM.296470"
"8",1,TRUE,0.0277,77,4,2,0.5,0.026,"KEGG:05100","keg",1,"Bacterial invasion of epithelial cells",2,"MM.328206,MM.9648"
"9",1,FALSE,1,183,4,1,0.25,0.005,"KEGG:04020","keg",1,"Calcium signaling pathway",2,"MM.296470"
"10",1,FALSE,1,88,4,1,0.25,0.011,"KEGG:04012","keg",1,"ErbB signaling pathway",2,"MM.328206"
"11",1,FALSE,1,106,4,1,0.25,0.009,"KEGG:04660","keg",1,"T cell receptor signaling pathway",2,"MM.328206"
"12",1,FALSE,1,41,4,1,0.25,0.024,"KEGG:00860","keg",1,"Porphyrin and chlorophyll metabolism",2,"MM.3160"
"13",1,FALSE,1,143,4,1,0.25,0.007,"KEGG:04910","keg",1,"Insulin signaling pathway",2,"MM.328206"
"14",1,FALSE,1,206,4,1,0.25,0.005,"KEGG:05205","keg",1,"Proteoglycans in cancer",2,"MM.328206"
"15",1,FALSE,1,89,4,1,0.25,0.011,"KEGG:04914","keg",1,"Progesterone-mediated oocyte maturation",2,"MM.9648"
"16",1,FALSE,1,72,4,1,0.25,0.014,"KEGG:05220","keg",1,"Chronic myeloid leukemia",2,"MM.328206"
"17",1,FALSE,1,137,4,1,0.25,0.007,"KEGG:04120","keg",1,"Ubiquitin mediated proteolysis",2,"MM.328206"
"18",1,FALSE,1,122,4,1,0.25,0.008,"KEGG:04110","keg",1,"Cell cycle",2,"MM.9648"
