,location,strand,tissue
137,chr3:129524020-129524069,R,liv
138,chr5:90501297-90501314,R,liv
139,chr8:87783477-87783489,F,liv
140,chr8:112885255-112885331,F,liv
141,chr9:46019409-46019413,F,liv
142,chr6:87775402-87775477,R,liv
143,chr17:35078917-35078966,F,liv
144,chr10:24605050-24605196,R,liv
145,chr13:4456426-4456455,F,liv
663,chr1:186543714-186543714,F,liv
695,chr17:33234598-33234602,F,liv
696,chr17:12519091-12519141,R,liv
697,chr17:31361789-31361879,R,liv
698,chr15:52955629-52955634,R,liv
699,chr14:29724036-29724159,F,liv
700,chr14:29724411-29724554,F,liv
701,chr9:48357041-48357093,R,liv
918,chr10:75217993-75218030,R,liv
52,chr8:114423480-114423495,F,mac
226,chr10:80115983-80116037,R,mac
239,chr2:165846781-165846810,R,mac
316,chr12:9056006-9056061,F,mac
513,chr7:45234718-45234735,R,mac
748,chr14:32867515-32867517,R,mac
970,chr18:69811716-69811780,F,mac
220,chr12:108782036-108782066,F,vis
221,chr11:105745163-105745181,F,vis
432,chr11:115615073-115615076,F,cer
591,chr11:68717780-68717781,F,cer
592,chr2:52441746-52441747,F,cer
593,chr9:42604994-42605042,R,cer
759,chr16:32563592-32563648,F,cer
877,chr10:120382392-120382428,R,cer
245,chr9:118942172-118942195,R,lun
395,chrX:36266221-36266223,F,lun
494,chr17:43568682-43568746,R,lun
578,chr15:74561579-74561592,R,lun
688,chr19:55305069-55305131,F,lun
690,chr8:82954064-82954105,R,lun
808,chr12:110698170-110698170,F,lun
969,chr11:68773059-68773098,R,lun
123,chr11:102133241-102133279,R,som
458,chr9:57760560-57760563,F,som
483,chr19:10972246-10972252,F,som
580,chrX:129197463-129197475,F,emb
581,chr4:114432230-114432230,R,emb
582,chr7:28574966-28575021,F,emb
583,chr2:27906890-27906896,R,emb
584,chr19:30615514-30615519,R,emb
585,chr5:134397971-134397971,F,emb
587,chr19:47320192-47320203,R,emb
633,chr12:11413181-11413202,R,som
882,chr5:108607032-108607053,F,som
930,chr4:41153754-41153754,F,emb
986,chr3:96348736-96348738,R,emb
283,chr7:70238597-70238627,F,lun
363,chr8:86613552-86613568,R,lun
648,chr4:57988214-57988222,F,lun
757,chr11:100772848-100772895,R,lun
321,chr15:92955567-92955567,F,cer
400,chr3:51603603-51603605,R,cer
500,chr14:93171808-93171811,F,cer
650,chr3:41839192-41839206,F,cer
668,chr13:44880562-44880563,R,cer
785,chr7:49842998-49843036,F,cer
899,chr12:111114624-111114683,F,cer
217,chr2:62747088-62747089,R,emb
576,chrX:47925031-47925048,R,som
973,chr5:122991988-122992027,R,som
974,chr6:112662410-112662458,R,som
975,chr15:95356643-95356688,R,som
983,chr6:6832064-6832085,R,som
989,chr2:135749277-135749308,F,som
990,chr4:98289101-98289101,F,som
528,chr1:8675833-8675834,F,lun
522,chr15:84367108-84367108,F,emb
586,chr1:80219794-80219839,R,emb
708,chr8:59133453-59133455,R,som
772,chr19:44189131-44189188,R,vis
794,chr1:45290440-45290526,F,emb
325,chr2:35513895-35513956,F,lun
12,chr8:113789125-113789155,R,cer
28,chr11:102135435-102135463,R,cer
263,chr2:156618832-156618853,R,cer
564,chr5:143495374-143495374,R,cer
565,chr11:42149974-42149974,R,cer
566,chr5:9537879-9537880,F,cer
567,chr11:100508535-100508562,R,cer
568,chr8:90363262-90363275,F,cer
569,chr9:62717434-62717436,F,cer
570,chr19:44290311-44290322,F,cer
571,chr14:53861074-53861077,R,cer
572,chrX:135732226-135732230,R,cer
573,chr9:21545383-21545419,R,cer
574,chr9:91162933-91162957,R,cer
673,chr4:153001333-153001352,R,cer
960,chr7:127406354-127406421,R,cer
215,chr1:38644108-38644111,F,emb
384,chr3:90699148-90699152,F,vis
637,chr12:56221368-56221421,F,som
958,chrX:32627419-32627445,F,vis
988,chr10:58935014-58935014,R,vis
31,chr5:115805201-115805252,F,lun
32,chr11:105805925-105805946,F,lun
146,chrX:162551217-162551240,R,lun
292,chr13:42877348-42877377,F,lun
293,chr11:89849097-89849182,F,lun
310,chr13:41498266-41498311,R,lun
313,chr6:70656398-70656440,F,lun
372,chr14:68910441-68910518,R,lun
482,chr14:68540710-68540741,R,lun
662,chr19:5845322-5845372,R,lun
978,chr4:70345807-70345809,R,lun
985,chr4:100844887-100844888,R,lun
996,chr5:143420007-143420009,R,lun
43,chr6:8898934-8898964,F,som
205,chr11:108159764-108159811,R,mac
279,chr4:126524188-126524249,F,mac
305,chr6:87756797-87756810,R,emb
315,chr12:100365724-100365733,F,mac
354,chr6:71369631-71369678,R,som
370,chr11:5052231-5052262,R,mac
371,chr2:120996744-120996757,F,mac
374,chr5:123040249-123040312,R,mac
375,chr7:119585244-119585322,F,mac
376,chr4:126523726-126523892,F,mac
377,chr15:98370659-98370660,R,mac
401,chr7:98532103-98532118,F,som
403,chr14:49388341-49388364,F,som
409,chr1:133027471-133027519,R,mac
411,chr1:182478016-182478047,F,mac
429,chr3:108235586-108235587,R,mac
435,chr12:55125427-55125431,R,emb
464,chr11:97391337-97391411,R,mac
612,chr9:107400217-107400282,R,mac
617,chr7:126817815-126817829,F,emb
621,chr8:80445510-80445548,F,som
643,chr10:98416765-98416773,F,mac
660,chr13:20003392-20003392,R,mac
674,chr4:136549565-136549589,F,emb
679,chr15:103073607-103073624,F,som
703,chr15:79515005-79515009,R,som
704,chr7:127667947-127667992,R,mac
705,chr15:86335178-86335178,R,som
760,chr16:18412441-18412455,F,emb
784,chr7:5758669-5758752,R,mac
809,chr11:116487750-116487786,F,mac
872,chr10:28836119-28836153,F,mac
889,chr18:59187863-59187885,F,som
893,chr16:64793928-64793977,R,mac
738,chr7:101324361-101324421,F,lun
