test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
TCONS_00000001	XLOC_000001	uc001acl.1	chr1:995116-1001833	WT	KD	OK	361.471	1825.25	2.33614	1.74833	0.0122	0.0457727	yes
TCONS_00000002	XLOC_000002	uc001acv.3	chr1:1072396-1079434	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000003	XLOC_000003	uc001acw.2	chr1:1102483-1102578	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000004	XLOC_000004	uc010nye.1	chr1:1103242-1103332	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000005	XLOC_000005	uc010nyf.1	chr1:1104384-1104467	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000006	XLOC_000006	uc010nyg.1	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000007	XLOC_000006	uc001acy.2	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000008	XLOC_000006	uc010nyg.1	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000009	XLOC_000006	uc001acz.2	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000010	XLOC_000007	uc001adk.3	chr1:1167628-1170420	WT	KD	OK	13595	19760.3	0.539535	3.74504	5e-05	0.000316667	yes
TCONS_00000011	XLOC_000008	uc001adt.1	chr1:1215815-1227409	WT	KD	NOTEST	0	0.10153	inf	0	1	1	no
TCONS_00000012	XLOC_000008	uc001adu.1	chr1:1215815-1227409	WT	KD	NOTEST	0	164.192	inf	0	1	1	no
TCONS_00000013	XLOC_000008	uc001adt.1	chr1:1215815-1227409	WT	KD	NOTEST	549.021	224.218	-1.29196	0	1	1	no
TCONS_00000014	XLOC_000008	uc001adv.2	chr1:1215815-1227409	WT	KD	NOTEST	0.446564	0.0137056	-5.02603	0	1	1	no
TCONS_00000015	XLOC_000008	uc001adw.2	chr1:1215815-1227409	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000016	XLOC_000008	uc001adx.2	chr1:1215815-1227409	WT	KD	NOTEST	0	31.0565	inf	0	1	1	no
TCONS_00000017	XLOC_000009	uc001aed.3	chr1:1227763-1260067	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000018	XLOC_000009	uc001aed.3	chr1:1227763-1260067	WT	KD	OK	9050.83	9685.05	0.0977088	0.242741	0.7108	0.771726	no
