,location,strand,tissue
16,chr8:3694138-3694191,R,lun
17,chr8:28694469-28694487,R,lun
28,chr11:102135435-102135463,R,cer
29,chr1:36416247-36416250,F,som
31,chr5:115805201-115805252,F,lun
32,chr11:105805925-105805946,F,lun
43,chr6:8898934-8898964,F,som
52,chr8:114423480-114423495,F,mac
68,chr19:41827484-41827518,R,mac
69,chr9:122003101-122003103,R,mac
70,chr1:62638232-62638255,F,mac
71,chr6:145079052-145079074,F,mac
72,chr19:5688992-5689019,R,mac
73,chr1:173485636-173485648,R,mac
74,chr6:88869527-88869563,R,mac
75,chr7:95725231-95725231,R,mac
76,chr11:115783327-115783327,F,mac
77,chr15:100427876-100427882,F,mac
78,chr9:77423393-77423393,R,mac
79,chr6:48770967-48770967,R,mac
81,chr10:83963735-83963736,F,vis
82,chr2:51860109-51860116,F,cer
83,chr8:120345520-120345564,F,cer
89,chr1:161338287-161338287,R,mac
91,chr7:119965003-119965061,F,liv
94,chr10:114815359-114815366,F,mac
95,chr18:61240162-61240179,F,mac
96,chrX:81543879-81543879,R,mac
97,chr19:11671853-11671876,R,mac
98,chr18:61237344-61237383,F,mac
108,chr7:140673457-140673508,R,mac
110,chr9:50498712-50498810,R,mac
111,chr18:56833117-56833168,F,mac
112,chr1:101602802-101602805,F,mac
120,chr19:46092845-46092905,R,liv
123,chr11:102133241-102133279,R,som
137,chr3:129524020-129524069,R,liv
138,chr5:90501297-90501314,R,liv
139,chr8:87783477-87783489,F,liv
140,chr8:112885255-112885331,F,liv
141,chr9:46019409-46019413,F,liv
142,chr6:87775402-87775477,R,liv
143,chr17:35078917-35078966,F,liv
144,chr10:24605050-24605196,R,liv
145,chr13:4456426-4456455,F,liv
146,chrX:162551217-162551240,R,lun
153,chr5:139579368-139579405,R,vis
154,chr2:29711209-29711247,F,vis
156,chr17:69167125-69167165,F,cer
163,chr11:106596710-106596749,R,cer
165,chr13:58401210-58401220,R,cer
166,chr8:73687523-73687529,F,cer
167,chr11:72082781-72082801,R,cer
168,chr14:87318272-87318297,R,vis
169,chr16:4200281-4200285,R,cer
180,chr10:121851545-121851632,F,liv
187,chr1:159248820-159248854,F,som
204,chr12:30120679-30120720,F,mac
205,chr11:108159764-108159811,R,mac
206,chr15:82727565-82727582,R,mac
212,chr6:83501869-83501909,R,emb
217,chr2:62747088-62747089,R,emb
220,chr12:108782036-108782066,F,vis
221,chr11:105745163-105745181,F,vis
222,chr16:51950908-51950954,F,vis
224,chr16:46216882-46216889,F,som
225,chr18:37269324-37269397,F,som
226,chr10:80115983-80116037,R,mac
237,chr9:29161282-29161335,R,mac
238,chr8:3515185-3515207,F,mac
239,chr2:165846781-165846810,R,mac
241,chr6:59355838-59355905,R,lun
242,chr6:4697367-4697417,F,emb
243,chr11:53264322-53264331,F,emb
245,chr9:118942172-118942195,R,lun
246,chr3:84900492-84900578,F,mac
254,chr12:110011024-110011046,F,vis
269,chr4:146984271-146984348,F,vis
278,chr2:41634187-41634187,R,cer
279,chr4:126524188-126524249,F,mac
285,chr7:83962659-83962722,R,vis
292,chr13:42877348-42877377,F,lun
293,chr11:89849097-89849182,F,lun
297,chr17:58691216-58691216,F,cer
305,chr6:87756797-87756810,R,emb
313,chr6:70656398-70656440,F,lun
315,chr12:100365724-100365733,F,mac
316,chr12:9056006-9056061,F,mac
318,chr17:84970870-84970894,R,mac
321,chr15:92955567-92955567,F,cer
327,chr4:94231291-94231311,F,lun
337,chr1:154570147-154570154,F,mac
338,chr18:46699814-46699828,R,mac
339,chr1:121331774-121331789,R,mac
340,chr17:27223613-27223613,F,mac
341,chr7:15417812-15417823,R,mac
342,chr10:40614180-40614180,R,mac
343,chr2:148134931-148134965,R,mac
344,chr19:19387956-19387957,F,mac
348,chr10:29002584-29002725,F,mac
349,chr11:118312461-118312512,R,mac
350,chr6:32392150-32392181,R,mac
351,chr4:132752669-132752669,F,mac
352,chrX:100404448-100404466,R,mac
353,chr12:45417532-45417612,F,mac
354,chr6:71369631-71369678,R,som
357,chr4:30252435-30252437,F,mac
363,chr8:86613552-86613568,R,lun
365,chr7:126588578-126588624,R,mac
367,chr8:29686312-29686313,R,mac
368,chr15:6516745-6516769,F,mac
369,chr3:8493201-8493231,F,mac
371,chr2:120996744-120996757,F,mac
375,chr7:119585244-119585322,F,mac
376,chr4:126523726-126523892,F,mac
377,chr15:98370659-98370660,R,mac
378,chr3:32588627-32588683,F,mac
379,chr7:51730265-51730297,R,cer
386,chr1:175603579-175603602,R,mac
394,chr6:122305194-122305289,R,liv
395,chrX:36266221-36266223,F,lun
399,chr5:34313576-34313618,F,cer
400,chr3:51603603-51603605,R,cer
401,chr7:98532103-98532118,F,som
402,chr10:62456884-62456923,F,liv
405,chr13:90964786-90964788,R,vis
406,chr7:102084331-102084366,F,cer
409,chr1:133027471-133027519,R,mac
410,chr9:48356961-48356981,R,liv
411,chr1:182478016-182478047,F,mac
418,chr2:152089585-152089645,R,emb
431,chr17:23401487-23401505,F,cer
432,chr11:115615073-115615076,F,cer
435,chr12:55125427-55125431,R,emb
442,chr1:136017911-136017936,R,cer
445,chr9:85546001-85546063,R,mac
458,chr9:57760560-57760563,F,som
464,chr11:97391337-97391411,R,mac
476,chr10:121450719-121450720,R,som
478,chr7:4293727-4293759,F,cer
479,chr1:154570072-154570111,F,mac
482,chr14:68540710-68540741,R,lun
483,chr19:10972246-10972252,F,som
494,chr17:43568682-43568746,R,lun
498,chr9:29968267-29968267,F,vis
500,chr14:93171808-93171811,F,cer
508,chr7:64271717-64271744,F,mac
511,chr11:6192105-6192200,F,mac
513,chr7:45234718-45234735,R,mac
521,chr5:104262068-104262187,R,emb
522,chr15:84367108-84367108,F,emb
526,chr7:44680324-44680378,R,emb
528,chr1:8675833-8675834,F,lun
536,chr2:94207585-94207605,F,cer
537,chr9:112079620-112079706,R,cer
539,chr4:87565844-87565882,F,cer
551,chr5:108689193-108689202,R,mac
555,chr14:72119239-72119247,R,cer
558,chr2:22482099-22482099,R,cer
561,chr17:55852286-55852340,R,vis
562,chr4:59720265-59720314,F,vis
579,chr19:59960587-59960597,R,som
580,chrX:129197463-129197475,F,emb
581,chr4:114432230-114432230,R,emb
582,chr7:28574966-28575021,F,emb
583,chr2:27906890-27906896,R,emb
584,chr19:30615514-30615519,R,emb
585,chr5:134397971-134397971,F,emb
586,chr1:80219794-80219839,R,emb
587,chr19:47320192-47320203,R,emb
591,chr11:68717780-68717781,F,cer
592,chr2:52441746-52441747,F,cer
593,chr9:42604994-42605042,R,cer
610,chr2:127212719-127212758,R,cer
611,chr10:10772505-10772558,R,cer
612,chr9:107400217-107400282,R,mac
616,chr12:86975526-86975526,R,mac
619,chr9:63976376-63976388,F,cer
623,chr3:106888535-106888537,R,mac
624,chr16:8160693-8160693,F,mac
625,chrX:7247418-7247427,R,mac
633,chr12:11413181-11413202,R,som
641,chr2:31972979-31973049,F,mac
642,chr3:127154556-127154619,R,mac
643,chr10:98416765-98416773,F,mac
646,chr10:6806225-6806301,R,liv
647,chr1:165988471-165988552,F,liv
648,chr4:57988214-57988222,F,lun
649,chr7:132408288-132408434,R,liv
654,chr9:111040059-111040061,R,liv
662,chr19:5845322-5845372,R,lun
663,chr1:186543714-186543714,F,liv
664,chr2:92201959-92202010,R,liv
665,chr14:54589740-54589771,R,liv
666,chr16:20422840-20422840,F,cer
668,chr13:44880562-44880563,R,cer
669,chr6:52246098-52246099,R,emb
673,chr4:153001333-153001352,R,cer
674,chr4:136549565-136549589,F,emb
675,chr11:61264689-61264694,R,cer
676,chr12:87771902-87771904,F,cer
677,chr14:20518285-20518285,F,cer
680,chr10:60489408-60489448,F,liv
681,chr3:90186737-90186744,F,cer
688,chr19:55305069-55305131,F,lun
689,chr3:89301119-89301157,F,lun
690,chr8:82954064-82954105,R,lun
691,chr15:98418094-98418100,R,cer
692,chr1:89934402-89934420,F,liv
693,chr5:88140904-88140929,R,liv
695,chr17:33234598-33234602,F,liv
696,chr17:12519091-12519141,R,liv
697,chr17:31361789-31361879,R,liv
698,chr15:52955629-52955634,R,liv
699,chr14:29724036-29724159,F,liv
700,chr14:29724411-29724554,F,liv
701,chr9:48357041-48357093,R,liv
703,chr15:79515005-79515009,R,som
705,chr15:86335178-86335178,R,som
743,chr7:18278377-18278434,F,som
744,chr5:3934280-3934300,F,som
746,chr10:39059464-39059523,F,som
747,chr4:124160534-124160534,F,vis
748,chr14:32867515-32867517,R,mac
750,chr4:49618348-49618359,R,som
759,chr16:32563592-32563648,F,cer
761,chr3:135376032-135376077,R,mac
774,chr7:30000671-30000683,F,cer
785,chr7:49842998-49843036,F,cer
787,chr7:121525582-121525652,F,lun
788,chr9:20775829-20775907,F,lun
789,chr9:110901637-110901718,R,lun
794,chr1:45290440-45290526,F,emb
805,chr4:19497210-19497251,R,mac
808,chr12:110698170-110698170,F,lun
811,chr6:36318206-36318284,F,lun
813,chr18:61250193-61250228,F,mac
815,chr4:128758079-128758079,F,mac
818,chr8:113914326-113914391,R,mac
819,chr13:104008731-104008739,R,mac
820,chr10:69386566-69386582,F,mac
821,chr3:136607056-136607121,F,mac
822,chr2:120996067-120996097,F,mac
823,chr11:118614076-118614081,R,mac
826,chr8:122521538-122521562,R,cer
827,chr10:75704733-75704762,F,cer
828,chr17:25523245-25523259,R,cer
829,chr14:63547986-63547996,F,cer
830,chr9:15071807-15071808,R,cer
838,chr1:132543325-132543386,R,emb
841,chr2:164547927-164547952,R,mac
842,chr9:58834345-58834405,R,mac
865,chrX:135822081-135822086,F,mac
866,chr13:55580586-55580663,R,mac
869,chr13:74501604-74501611,F,mac
870,chr17:29752579-29752581,F,mac
872,chr10:28836119-28836153,F,mac
873,chr19:12865601-12865604,F,mac
877,chr10:120382392-120382428,R,cer
882,chr5:108607032-108607053,F,som
883,chr8:59212836-59212898,F,som
885,chr2:152916849-152916884,R,vis
891,chrX:155846743-155846774,F,mac
892,chrX:131232289-131232297,F,mac
893,chr16:64793928-64793977,R,mac
894,chr6:53400328-53400328,R,mac
895,chr16:65733774-65733800,F,mac
896,chr15:25718995-25719006,F,mac
897,chr7:9370267-9370291,R,mac
902,chr8:121874331-121874331,F,som
905,chr5:88643529-88643626,R,liv
908,chr2:152982931-152982931,R,mac
911,chr2:35404800-35404886,F,liv
