test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000001	XLOC_000001	uc001acl.1	chr1:995116-1001833	WT	KD	OK	361.471	1825.25	2.33614	1.74833	0.0122	0.0210727	yes
XLOC_000002	XLOC_000002	uc001acv.3	chr1:1072396-1079434	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000003	XLOC_000003	uc001acw.2	chr1:1102483-1102578	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000004	XLOC_000004	uc010nye.1	chr1:1103242-1103332	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000005	XLOC_000005	uc010nyf.1	chr1:1104384-1104467	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000006	XLOC_000006	uc001acy.2,uc001acz.2,uc010nyg.1	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000007	XLOC_000007	uc001adk.3	chr1:1167628-1170420	WT	KD	OK	13595	19760.3	0.539535	3.74504	5e-05	0.000135714	yes
XLOC_000008	XLOC_000008	uc001adt.1,uc001adu.1,uc001adv.2,uc001adw.2,uc001adx.2	chr1:1215815-1227409	WT	KD	NOTEST	549.468	419.581	-0.389086	0	1	1	no
XLOC_000009	XLOC_000009	uc001aed.3,uc009vjx.3,uc010nyi.2	chr1:1227763-1260067	WT	KD	OK	10287.5	11335.8	0.14	0.441391	0.50275	0.597016	no
XLOC_000010	XLOC_000010	uc001aeo.3	chr1:1260142-1264276	WT	KD	OK	7923.02	4681.04	-0.759223	-2.83764	0.0001	0.0002375	yes
XLOC_000011	XLOC_000011	uc010nyk.2	chr1:1266725-1269844	WT	KD	NOTEST	82.4487	0	-inf	0	1	1	no
XLOC_000012	XLOC_000012	uc001afm.3,uc009vkd.3	chr1:1334909-1342693	WT	KD	OK	3719.11	3873.74	0.058768	0.131074	0.83645	0.83645	no
XLOC_000013	XLOC_000013	uc010nyp.2	chr1:1361507-1363167	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000014	XLOC_000014	uc001afr.3,uc001afs.3	chr1:1370902-1378262	WT	KD	NOTEST	936.76	767.349	-0.287797	0	1	1	no
XLOC_000015	XLOC_000015	uc001aft.2	chr1:1385068-1405538	WT	KD	NOTEST	0	17.8787	inf	0	1	1	no
XLOC_000016	XLOC_000016	uc001afv.3,uc001afw.2,uc001afx.3,uc021oeq.1	chr1:1407163-1444689	WT	KD	OK	9592.51	5210.03	-0.880616	-3.34634	5e-05	0.000135714	yes
XLOC_000017	XLOC_000017	uc001afz.2,uc001aga.2,uc001agb.2,uc001agc.1	chr1:1447522-1470067	WT	KD	OK	14831.6	9122.46	-0.701183	-4.11096	5e-05	0.000135714	yes
XLOC_000018	XLOC_000018	uc021oen.1,uc021oeo.1	chr1:1007125-1009687	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000019	XLOC_000019	uc001acn.2,uc001acr.2,uc001acs.2,uc001act.2,uc001acu.2,uc010nyd.1	chr1:1017197-1051736	WT	KD	OK	2974.33	2752.92	-0.111603	-0.261447	0.674	0.711444	no
XLOC_000020	XLOC_000020	uc031pkr.1	chr1:1103242-1103332	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000021	XLOC_000021	uc031pks.1	chr1:1104384-1104467	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000022	XLOC_000022	uc001acx.1	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000023	XLOC_000023	uc001ada.3,uc001adb.3,uc001adc.3,uc001add.3	chr1:1138887-1142089	WT	KD	NOTEST	0	0	0	0	1	1	no
XLOC_000024	XLOC_000024	uc001ade.3,uc001adf.3	chr1:1146705-1149548	WT	KD	NOTEST	0	84.238	inf	0	1	1	no
XLOC_000025	XLOC_000025	uc001adg.3,uc001adh.4,uc001adi.4,uc001adj.1,uc009vjw.3	chr1:1152287-1167447	WT	KD	OK	93334.8	119942	0.361849	5.61994	5e-05	0.000135714	yes
XLOC_000026	XLOC_000026	uc001adl.2	chr1:1177825-1182102	WT	KD	NOTEST	242.347	218.915	-0.146705	0	1	1	no
XLOC_000027	XLOC_000027	uc001adm.4,uc001ado.3,uc001adp.3,uc001adq.3,uc001adr.3	chr1:1189291-1209234	WT	KD	OK	21842.8	25075.9	0.199142	1.6294	0.02185	0.0345958	yes
