,location,strand,tissue
52,chr8:114423480-114423495,F,mac
137,chr3:129524020-129524069,R,liv
138,chr5:90501297-90501314,R,liv
139,chr8:87783477-87783489,F,liv
140,chr8:112885255-112885331,F,liv
141,chr9:46019409-46019413,F,liv
142,chr6:87775402-87775477,R,liv
143,chr17:35078917-35078966,F,liv
144,chr10:24605050-24605196,R,liv
145,chr13:4456426-4456455,F,liv
220,chr12:108782036-108782066,F,vis
221,chr11:105745163-105745181,F,vis
226,chr10:80115983-80116037,R,mac
239,chr2:165846781-165846810,R,mac
245,chr9:118942172-118942195,R,lun
316,chr12:9056006-9056061,F,mac
395,chrX:36266221-36266223,F,lun
432,chr11:115615073-115615076,F,cer
458,chr9:57760560-57760563,F,som
483,chr19:10972246-10972252,F,som
494,chr17:43568682-43568746,R,lun
513,chr7:45234718-45234735,R,mac
591,chr11:68717780-68717781,F,cer
592,chr2:52441746-52441747,F,cer
593,chr9:42604994-42605042,R,cer
663,chr1:186543714-186543714,F,liv
690,chr8:82954064-82954105,R,lun
695,chr17:33234598-33234602,F,liv
696,chr17:12519091-12519141,R,liv
697,chr17:31361789-31361879,R,liv
698,chr15:52955629-52955634,R,liv
699,chr14:29724036-29724159,F,liv
700,chr14:29724411-29724554,F,liv
701,chr9:48357041-48357093,R,liv
748,chr14:32867515-32867517,R,mac
759,chr16:32563592-32563648,F,cer
808,chr12:110698170-110698170,F,lun
877,chr10:120382392-120382428,R,cer
882,chr5:108607032-108607053,F,som
918,chr10:75217993-75218030,R,liv
970,chr18:69811716-69811780,F,mac
986,chr3:96348736-96348738,R,emb
