name	mrna_length	genome_length	exon_count
PP8961	2596	2596	1
FLJ00038	794	2615	6
OR4F5	918	918	1
OR4F3	937	937	1
OR4F16	937	937	1
SAMD11	2555	18842	14
NOC2L	2739	15036	19
KLHL17	2560	5129	12
PLEKHN1	2394	8602	16
HES4	877	1126	4
ISG15	628	1035	2
AGRIN	7319	35990	36
C1orf159	3214	34265	10
TTLL10	2111	6165	9
TNFRSF18	1199	3201	5
TNFRSF4	1067	2806	7
SDF4	1955	15093	7
UBE2J2	2258	19941	7
SCNN1D	2503	9834	14
CENTB5	2280	9697	21
PUSL1	1239	3063	8
RARG	2704	9797	8
DIAPH2	9332	920285	27
MGC10334	2192	4133	3
DVL1	2923	13834	15
MXRA8	2272	5844	10
AURKAIP1	752	1471	4
CCNL2	5239	13598	13
MRPL20	680	5365	4
VWA1	2536	5237	3
ATAD3C	1817	7492	2
ATAD3B	2432	24418	16
ATAD3A	2611	22510	16
SSU72	1302	33209	5
MIB2	3243	15101	20
MMP23B	1239	2470	8
CDC2L2	712	79767	6
CT47.1	1294	3319	3
CT47.6	1293	3318	3
CDC2L1	2453	84673	20
CT47.4	1293	3318	3
CT47.3	1293	3318	3
CT47.2	1293	3318	3
SLC35E2	1430	13751	6
NADK	3228	27232	12
GNB1	3127	105766	12
CALML6	1101	2468	6
TMEM52	924	1678	5
LOC339457	2755	5972	10
GABRD	1848	11348	9
PRKCZ	2324	134924	18
KRTAP5-8	1183	1183	1
KRTAP5-11	1021	1021	1
SKI	3511	79323	7
MORN1	1641	70298	14
ZH2C2	3548	34138	8
PEX10	2012	7768	6
PLCH2	4837	29211	22
PANK4	2642	18061	19
HES5	1304	1499	3
TNFRSF14	1704	7461	8
C1orf93	2709	4654	7
MMEL1	2850	42349	24
ACTRT2	1420	1420	1
PRDM16	8716	369440	17
ARHGEF16	2181	17554	14
FAM79A	2425	5137	5
WDR8	1656	19298	12
TP73	2234	80728	14
KIAA0495	4032	9477	6
CCDC27	2177	19248	12
LRRC47	2648	16285	7
DFFB	3077	28148	7
C1orf174	1652	11147	4
ZNF565	1788	32379	5
NPHP4	5002	129662	30
KCNAB2	3171	74144	16
CHD5	9646	78331	42
RPL22	2084	14599	4
PA2G4	2626	9592	13
C1orf188	3014	11940	10
ICMT	4813	14790	5
HES3	1354	2450	5
GPR153	2632	12180	6
ACOT7	1413	94672	9
CCDC11	1821	39300	8
VAPA	6858	46063	6
HES2	4258	4684	4
NFKB2	3115	7942	23
TNFRSF25	1615	5035	10
AACS	3321	77947	18
PLEKHG5	4715	24489	21
NOL9	2832	29372	12
TAS1R1	2698	24383	6
ZBTB48	2289	9229	11
KLHL21	4486	12145	4
PHF13	3644	10312	4
THAP3	2052	10394	5
DNAJC11	3197	67643	16
CAMTA1	8441	984380	23
VAMP3	2204	10163	5
PER3	6202	60474	21
UTS2	558	5421	4
TNFRSF9	1883	20980	8
PARK7	876	23544	7
ERRFI1	3076	14562	4
ENO1	1812	17718	12
CA6	1334	29225	8
SLC2A7	1575	23046	12
SLC2A5	2219	32664	12
H6PD	9113	36530	5
SPSB1	3072	76605	3
RP13-15M17.2	3845	16027	6
PIK3CD	5195	77167	24
CLSTN1	5191	95471	19
CTNNBIP1	2961	61983	5
LZIC	1405	13049	7
TXNL2	1244	43208	11
RBP7	635	18804	4
UBE4B	5488	148252	27
KIF1B	5757	95985	21
PGD	1936	21116	13
APITD1	1235	12706	5
CORT	933	1987	2
DFFA	2036	12009	6
DZIP1	7430	66501	22
SRG	1364	1364	1
COL17A1	5610	54593	56
C1orf127	2262	17726	8
TARDBP	4216	12870	6
MASP2	2443	20705	11
SRM	1273	5443	8
EXOSC10	2805	33261	25
FRAP1	8676	155972	58
ANGPTL7	2237	6640	5
UBIAD1	1477	13060	2
FBXO2	1534	6290	6
FBXO44	2933	8952	5
FBXO6	1516	10227	6
MAD2L2	1034	6650	9
C1orf187	1773	28556	7
MTHFR	7105	20329	12
CLCN6	5541	36892	23
NPPA	840	2060	3
NPPB	697	1471	3
KIAA2013	2338	6356	3
PLOD1	3003	40848	19
MFN2	4539	33197	19
IIP45	2071	12595	9
TNFRSF8	3684	80829	15
TNFRSF1B	3674	42217	10
VPS13D	16326	281984	70
DHRS3	1805	49881	6
AADACL4	1574	22531	4
C1orf158	1018	14939	4
PRAMEF1	1606	4678	4
HNRPCL1	1106	1316	2
PRAMEF2	1642	4824	4
PRAMEF4	1828	6981	4
PRAMEF10	1512	5362	4
PRAMEF8	1841	4117	4
PRAMEF7	1424	2720	3
PRAMEF6	1430	3843	3
PRAMEF5	1855	9238	4
PRAMEF3	2104	3497	3
PRAMEF9	1863	7016	4
PDPN	2810	34199	6
PRDM2	7452	83220	9
KIAA1026	1474	467080	9
FLJ43806	4130	16442	5
C1orf126	2962	36512	6
TMEM51	1810	66644	3
EFHD2	2364	20394	4
CTRC	899	8216	8
ELA2A	913	15357	8
ELA2B	922	15299	8
CASP9	1987	31994	9
DNAJC16	6023	44875	15
AGMAT	2196	12454	7
DDI2	1759	42679	10
