,location,strand,tissue
0,chr13:91536205-91536205,F,cer
2,chr14:50827439-50827473,R,vis
9,chr19:46815144-46815183,F,cer
11,chr14:29830603-29830624,R,som
12,chr8:113789125-113789155,R,cer
13,chrX:67457650-67457652,F,cer
15,chr14:64312731-64312758,F,cer
16,chr8:3694138-3694191,R,lun
17,chr8:28694469-28694487,R,lun
19,chr6:86593820-86593840,F,emb
20,chrX:53294817-53294821,F,emb
21,chr8:107332075-107332103,R,cer
22,chr2:91732333-91732386,R,cer
23,chr3:90158574-90158578,F,emb
24,chr12:112119288-112119304,R,som
25,chr5:104333138-104333238,R,som
26,chr1:191730048-191730053,F,liv
28,chr11:102135435-102135463,R,cer
29,chr1:36416247-36416250,F,som
30,chr19:61280921-61281035,R,som
31,chr5:115805201-115805252,F,lun
32,chr11:105805925-105805946,F,lun
33,chr3:62427087-62427181,F,som
34,chr2:164980403-164980426,R,cer
35,chr13:24622034-24622093,F,lun
38,chr11:114668317-114668344,F,cer
39,chr4:131040564-131040600,R,cer
40,chr4:128308416-128308468,R,emb
41,chr9:106744709-106744712,F,mac
43,chr6:8898934-8898964,F,som
45,chr7:92616597-92616664,R,mac
46,chr17:25000953-25000970,R,lun
49,chr13:52993502-52993525,R,mac
50,chr8:13167792-13167943,F,mac
51,chr16:6955177-6955252,F,mac
52,chr8:114423480-114423495,F,mac
53,chr2:28405255-28405294,R,som
55,chr6:89328195-89328204,R,liv
56,chr6:115242083-115242102,F,liv
57,chr2:91381975-91381993,F,liv
58,chr1:95275807-95275840,R,cer
59,chr7:29016772-29016822,F,vis
60,chr7:45651911-45651933,F,vis
61,chr16:95105772-95105834,F,som
62,chr5:131823398-131823448,R,mac
63,chr17:4952793-4952835,F,lun
64,chr13:28959511-28959540,F,som
65,chr12:4799089-4799089,F,lun
66,chr9:105353053-105353092,R,vis
67,chr4:95057080-95057081,R,vis
68,chr19:41827484-41827518,R,mac
69,chr9:122003101-122003103,R,mac
70,chr1:62638232-62638255,F,mac
71,chr6:145079052-145079074,F,mac
72,chr19:5688992-5689019,R,mac
73,chr1:173485636-173485648,R,mac
74,chr6:88869527-88869563,R,mac
75,chr7:95725231-95725231,R,mac
76,chr11:115783327-115783327,F,mac
77,chr15:100427876-100427882,F,mac
78,chr9:77423393-77423393,R,mac
79,chr6:48770967-48770967,R,mac
80,chr2:84847843-84847878,F,mac
81,chr10:83963735-83963736,F,vis
82,chr2:51860109-51860116,F,cer
83,chr8:120345520-120345564,F,cer
84,chr5:72482426-72482506,F,cer
86,chr5:33974953-33975005,F,mac
89,chr1:161338287-161338287,R,mac
90,chr11:100676556-100676620,F,mac
91,chr7:119965003-119965061,F,liv
92,chr2:130868749-130868751,R,liv
93,chr1:64428477-64428478,R,liv
94,chr10:114815359-114815366,F,mac
95,chr18:61240162-61240179,F,mac
96,chrX:81543879-81543879,R,mac
97,chr19:11671853-11671876,R,mac
98,chr18:61237344-61237383,F,mac
99,chr2:118929069-118929177,F,mac
100,chr10:62410826-62410853,R,mac
101,chr16:7139631-7139673,F,mac
102,chr13:100529706-100529735,R,mac
103,chrX:44612776-44612789,F,mac
104,chr1:108000768-108000806,R,mac
105,chr17:70625098-70625120,F,mac
106,chr14:25423308-25423329,F,mac
107,chr9:107965127-107965157,R,mac
108,chr7:140673457-140673508,R,mac
109,chr3:63384086-63384148,F,mac
110,chr9:50498712-50498810,R,mac
111,chr18:56833117-56833168,F,mac
112,chr1:101602802-101602805,F,mac
113,chr19:8661122-8661198,F,mac
114,chr3:102333650-102333714,R,som
115,chr8:113806699-113806739,F,cer
116,chr12:47695278-47695299,R,cer
118,chr3:32901153-32901154,F,mac
119,chr1:132679599-132679604,F,liv
120,chr19:46092845-46092905,R,liv
121,chr1:173863929-173863973,R,liv
123,chr11:102133241-102133279,R,som
124,chr17:32035319-32035339,R,cer
125,chr7:133528803-133528803,R,vis
126,chr4:43448101-43448113,F,vis
127,chr15:73250570-73250615,F,som
128,chr4:6380768-6380830,R,lun
129,chr11:69797241-69797271,F,cer
130,chr7:101770212-101770241,F,mac
131,chr18:23182815-23182876,R,mac
134,chr10:12818800-12818800,R,som
135,chr4:154735631-154735666,F,som
136,chr7:65928560-65928562,R,liv
137,chr3:129524020-129524069,R,liv
138,chr5:90501297-90501314,R,liv
139,chr8:87783477-87783489,F,liv
140,chr8:112885255-112885331,F,liv
141,chr9:46019409-46019413,F,liv
142,chr6:87775402-87775477,R,liv
143,chr17:35078917-35078966,F,liv
144,chr10:24605050-24605196,R,liv
145,chr13:4456426-4456455,F,liv
146,chrX:162551217-162551240,R,lun
147,chr4:86454487-86454517,R,lun
148,chr1:134392386-134392405,R,lun
149,chr3:115999748-115999783,F,lun
152,chr4:22805293-22805293,F,liv
153,chr5:139579368-139579405,R,vis
154,chr2:29711209-29711247,F,vis
155,chr1:90532867-90532869,R,cer
156,chr17:69167125-69167165,F,cer
158,chr18:37078622-37078631,F,vis
159,chr9:22057848-22057850,F,vis
160,chr7:29760125-29760156,R,cer
163,chr11:106596710-106596749,R,cer
164,chr12:78976559-78976559,F,cer
165,chr13:58401210-58401220,R,cer
166,chr8:73687523-73687529,F,cer
167,chr11:72082781-72082801,R,cer
168,chr14:87318272-87318297,R,vis
169,chr16:4200281-4200285,R,cer
170,chr11:8564505-8564547,R,mac
171,chr2:146547300-146547362,F,cer
172,chr4:41653509-41653592,R,emb
173,chr6:145207441-145207460,R,emb
174,chr7:15075756-15075785,R,emb
176,chr11:94209007-94209041,R,liv
177,chr10:60778681-60778728,R,mac
178,chr6:116229808-116229872,F,liv
179,chr6:66826120-66826186,F,mac
180,chr10:121851545-121851632,F,liv
182,chr10:13656298-13656320,F,cer
183,chr13:73982338-73982396,F,liv
184,chr19:20560084-20560122,F,liv
185,chr13:36733366-36733404,R,vis
187,chr1:159248820-159248854,F,som
188,chr10:44147182-44147194,R,mac
189,chr11:59357774-59357780,F,mac
190,chr4:43404557-43404609,F,mac
191,chr5:82094831-82094846,F,som
192,chr17:27350724-27350779,R,cer
193,chr9:57475342-57475345,R,liv
194,chr16:26670731-26670736,R,liv
195,chr5:146383487-146383488,F,liv
196,chr13:100521893-100521899,R,liv
197,chr8:73683600-73683617,F,liv
198,chr9:21766758-21766758,R,liv
199,chr11:118310299-118310320,R,som
200,chr17:39455563-39455578,F,emb
201,chr19:45068493-45068530,F,cer
202,chr17:29220063-29220099,F,mac
203,chr15:76346813-76346846,R,mac
204,chr12:30120679-30120720,F,mac
205,chr11:108159764-108159811,R,mac
206,chr15:82727565-82727582,R,mac
207,chr17:46019359-46019404,R,mac
208,chr1:113692410-113692465,R,mac
210,chr6:64972393-64972449,F,emb
212,chr6:83501869-83501909,R,emb
213,chr2:80248558-80248607,R,emb
215,chr1:38644108-38644111,F,emb
216,chr11:120449408-120449457,R,cer
217,chr2:62747088-62747089,R,emb
219,chr19:60944997-60945057,F,liv
220,chr12:108782036-108782066,F,vis
221,chr11:105745163-105745181,F,vis
222,chr16:51950908-51950954,F,vis
223,chr9:27540421-27540474,F,mac
224,chr16:46216882-46216889,F,som
225,chr18:37269324-37269397,F,som
226,chr10:80115983-80116037,R,mac
227,chr8:27203356-27203358,F,mac
228,chr7:110564885-110564885,R,mac
229,chr4:99484846-99484887,F,mac
231,chr2:152088718-152088792,R,emb
232,chr15:60652613-60652684,F,lun
233,chr7:39223690-39223745,F,vis
234,chr11:69421589-69421627,R,liv
235,chr6:29488139-29488142,F,mac
236,chrX:33622658-33622716,F,mac
237,chr9:29161282-29161335,R,mac
238,chr8:3515185-3515207,F,mac
239,chr2:165846781-165846810,R,mac
240,chr7:18468563-18468567,R,vis
241,chr6:59355838-59355905,R,lun
242,chr6:4697367-4697417,F,emb
243,chr11:53264322-53264331,F,emb
244,chr13:97643184-97643193,R,lun
245,chr9:118942172-118942195,R,lun
246,chr3:84900492-84900578,F,mac
